1580. Akira Yamaoka - The Reverse Will [processor=172.16.112.22,exit=1,duration=4.29s]
1581. Akira Yamaoka - Theme Of Laura [processor=172.16.112.22,exit=1,duration=3.86s]
1582. Akira Yamaoka - Heaven's Night [processor=172.16.112.22,exit=1,duration=2.59s]
1583. Akira Yamaoka - Magdalene [processor=172.16.112.22,exit=1,duration=2.52s]
1584. Akira Yamaoka - Laura Plays The Piano [processor=localhost,exit=1,duration=4.22s]
1585. Akira Yamaoka - Theme Of Laura (Reprise) [processor=172.16.112.22,exit=1,duration=2.37s]
1586. Akira Yamaoka - Promise (Reprise) [processor=172.16.112.22,exit=1,duration=2.36s]
1587. Akira Yamaoka - Forest [processor=172.16.112.22,exit=1,duration=2.17s]
1588. Akira Yamaoka - Ordinary Vanity [processor=172.16.112.22,exit=1,duration=2.27s]
1589. Akira Yamaoka - Pianissimo Epilogue [processor=172.16.112.22,exit=1,duration=2.21s]
1590. Akira Yamaoka - White Noiz [processor=172.16.112.22,exit=1,duration=1.80s]
1591. Akira Yamaoka - I Want Love [processor=172.16.112.22,exit=1,duration=3.34s,rate=49.68]
1592. Brasstronaut - Slow Knots [processor=172.16.112.22,exit=1,duration=5.65s,speed=50.70x]
1593. Ted Irens - Rain In The Forest [processor=172.16.112.22,exit=0,duration=0.45s,speed=0.00x]
1594. Unknown Artist - Solarsoul - The Goldilocks Zone 192.mp3 [processor=172.16.112.22,exit=1,duration=2.02s,speed=43.56x]
1595. Seafoam - Breakers (Awakening) [processor=172.16.112.22,exit=1,duration=2.74s,speed=42.07x]
1596. Seafoam - Collapsed Lung [processor=172.16.112.22,exit=1,duration=5.27s,speed=46.41x]
1597. Seafoam - Sarah [processor=172.16.112.22,exit=1,duration=5.47s,speed=47.70x]
1599. Seafoam - Goodbye for Now [processor=localhost,exit=1,duration=10.47s,speed=22.61x]
1598. Seafoam - We'll Be Free [processor=localhost,exit=1,duration=11.74s,speed=23.29x]
1600. Seafoam - Breakers (Awakening) [processor=172.16.112.222,exit=1,duration=2.70s,speed=42.62x]
1601. Seafoam - Collapsed Lung [processor=172.16.112.222,exit=1,duration=5.74s,speed=42.66x]
1602. Seafoam - Sarah [processor=172.16.112.222,exit=1,duration=5.95s,speed=43.83x]
1604. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=1,duration=5.39s,speed=43.89x]
1603. Seafoam - We'll Be Free [processor=172.16.112.222,exit=1,duration=6.15s,speed=44.44x]
1605. Seafoam - Breakers (Awakening) [processor=172.16.112.222,exit=0,duration=5.01s,speed=0.00x]
1606. Seafoam - Collapsed Lung [processor=172.16.112.222,exit=0,duration=5.01s,speed=0.00x]
1607. Seafoam - Sarah [processor=172.16.112.222,exit=0,duration=5.01s,speed=0.00x]
1608. Seafoam - We'll Be Free [processor=172.16.112.222,exit=0,duration=5.01s,speed=0.00x]
1609. Seafoam - Goodbye for Now [processor=localhost,exit=1,duration=8.63s,speed=27.42x]
1610. Seafoam - Breakers (Awakening) [processor=172.16.112.222,exit=,duration=5.01s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=5.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=5.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=5.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.05s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.04s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
1611. Seafoam - Goodbye for Now [processor=172.16.112.222,exit=65280,duration=0.02s,speed=0.00x]
